,TM Number,Period,Date String,Uncertain,Date (Start),Date (End),Provenance,Language
12936,53783,Ptolemaic period,BC 332 - 30,False,-332,-30,Memnoneia - Djeme (Thebes west),Demotic
12937,53785,Ptolemaic period,BC 332 - 30,False,-332,-30,Memnoneia - Djeme (Thebes west),Demotic
12938,53786,Ptolemaic period,BC 332 - 30,False,-332,-30,Memnoneia - Djeme (Thebes west),Demotic
12939,53787,Ptolemaic period,BC 332 - 30,False,-332,-30,Memnoneia - Djeme (Thebes west),Demotic
12940,53788,Ptolemaic period,BC 332 - 30,False,-332,-30,Memnoneia - Djeme (Thebes west),Demotic
12941,53789,Ptolemaic period,BC 332 - 30,False,-332,-30,Memnoneia - Djeme (Thebes west),Demotic
12942,53790,Ptolemaic period,BC 332 - 30,False,-332,-30,Memnoneia - Djeme (Thebes west),Demotic
12943,53791,Ptolemaic period,BC 332 - 30,False,-332,-30,Memnoneia - Djeme (Thebes west),Demotic
12944,53792,Ptolemaic period,BC 332 - 30,False,-332,-30,Memnoneia - Djeme (Thebes west),Demotic
12945,53793,Ptolemaic period,BC 332 - 30,False,-332,-30,Memnoneia - Djeme (Thebes west),Demotic
12946,53794,,BC 30 Jan 19,False,-30,,Koptos (Qift),Demotic / Hieroglyphic
12947,53795,Ptolemaic period,BC 332 - 30,False,-332,-30,Memnoneia - Djeme (Thebes west),Demotic
12948,53796,,BC 245 Jul 11?,True,-245,,Memnoneia - Djeme (Thebes west),Demotic
12949,53797,,BC 246 Aug 28,False,-246,,Memnoneia - Djeme (Thebes west),Demotic
12950,53798,,BC 359 Aug 19?,True,-359,,Memnoneia - Djeme (Thebes west),Demotic
12951,53799,,BC 245 Aug 22,False,-245,,Memnoneia - Djeme (Thebes west),Demotic
12952,538,Ptolemaic period,BC 332 - 30,False,-332,-30,Pathyris (Gebelein),Demotic
12953,53800,,BC 242 Aug 18,False,-242,,Memnoneia - Djeme (Thebes west),Demotic
12954,53801,,BC 19 Apr 4?,True,-19,,Tentyris (Dendera),Demotic
12955,53802,Ptolemaic period,BC 332 - 30,False,-332,-30,Memnoneia - Djeme (Thebes west),Demotic
12956,53804,,BC 27 Oct 1?,True,-27,,Thebes,Demotic / Hieroglyphic
12957,53805,,BC 13 Dec 27,False,-13,,Tentyris (Dendera),Demotic / Hieroglyphic
12958,53806,,BC 12 Mar 30,False,-12,,Tentyris (Dendera),Demotic / Greek / Hieroglyphic
12959,53807,,BC 13 Dec 27,False,-13,,Tentyris (Dendera),Demotic / Hieroglyphic
12960,53808,,BC 10 Dec 9,False,-10,,Tentyris (Dendera),Demotic
12961,53809,,BC 30 - AD 14?,True,-30,14,Tentyris (Dendera),Demotic
12962,53811,,AD 3 Mar 27 - Apr 25,False,3,,Tentyris (Dendera),Demotic
12963,53812,,AD 3 Mar 4,False,3,,Tentyris (Dendera),Demotic
12964,53813,,AD 4 Mar 6,False,4,,Tentyris (Dendera),Demotic
12965,53815,,BC 30 - AD 50,False,-30,50,Tentyris (Dendera),Demotic
12966,53818,,AD 14 - 37,False,14,37,Egypt,Demotic / Hieroglyphic
12967,53819,1st - 2nd century AD,AD 1 - 199,False,1,199,Egypt,Demotic
12968,53820,,AD 1 - 284,False,1,284,Titis (Qertassi),Demotic
12969,53821,,BC 171 Nov 21,False,-171,,Lykopolis (Assiut),Demotic
12970,53822,,BC 170 Aug 31 - Sep 29,False,-170,,Lykopolis (Assiut),Demotic
12971,53823,,BC 170,False,-170,,Lykopolis (Assiut),Demotic
12972,53824,,BC 181 Nov 30,False,-181,,Lykopolis (Assiut),Demotic
12973,53825,,AD 14 - 37,False,14,37,Abydos,Demotic / Hieroglyphic
12974,53826,,AD 1 - 284,False,1,284,Titis (Qertassi),Demotic
12975,53828,,AD 1 - 284,False,1,284,Titis (Qertassi),Demotic
12976,53829,consulate of C. Antistius Vetus II and M. Suillius Nerullinus,AD 50,False,50,,Koptos (Qift),Demotic / Hieroglyphic
12977,53830,,AD 1 - 284,False,1,284,Titis (Qertassi),Demotic
12978,53833,,AD 1 - 284,False,1,284,Titis (Qertassi),Demotic
12979,53835,,AD 1 - 284,False,1,284,Titis (Qertassi),Demotic
12980,53836,,AD 1 - 284,False,1,284,Titis (Qertassi),Demotic
12981,53838,,AD 1 - 284,False,1,284,Titis (Qertassi),Demotic
12982,53839,,AD 1 - 284,False,1,284,Titis (Qertassi),Demotic
12983,53840,,AD 1 - 284,False,1,284,Titis (Qertassi),Demotic
12984,53842,,AD 1 - 284,False,1,284,Talmis (Kalabsha),Demotic
12985,53844,,AD 1 - 284,False,1,284,Talmis (Kalabsha),Demotic
12986,53845,,AD 32 Jul 16,False,32,,Koptos (Qift),Demotic / Hieroglyphic
12987,53847,,AD 1 - 284,False,1,284,Talmis (Kalabsha),Demotic
12988,53848,,BC 250 - 220,False,-250,-220,Memphis,Demotic
12989,53849,,AD 1 - 284,False,1,284,Talmis (Kalabsha),Demotic
12990,53850,,AD 37 - 41,False,37,41,Koptos (Qift),Demotic / Hieroglyphic
12991,53851,,AD 1 - 284,False,1,284,Talmis (Kalabsha),Demotic
12992,53852,,BC 250 - 220,False,-250,-220,Memphis,Demotic
12993,53853,,AD 37 - 41,False,37,41,Koptos (Qift),Demotic
12994,53854,,AD 1 - 284,False,1,284,Talmis (Kalabsha),Demotic
12995,53855,,AD 37 - 41,False,37,41,Koptos (Qift),Demotic
12996,53857,,AD 46 Aug 29 - 47 Aug 23,False,46,47,Koptos (Qift),Demotic / Hieroglyphic
12997,53858,,AD 1 - 284,False,1,284,Talmis (Kalabsha),Demotic
12998,53859,,AD 1 - 284,False,1,284,Talmis (Kalabsha),Demotic
12999,53860,,AD 1 - 284,False,1,284,Talmis (Kalabsha),Demotic
13000,53861,,AD 1 - 284,False,1,284,Talmis (Kalabsha),Demotic
13001,53863,,AD 1 - 284,False,1,284,Talmis (Kalabsha),Demotic
13002,53864,,AD 1 - 284,False,1,284,Talmis (Kalabsha),Demotic
13003,53865,,AD 1 - 284,False,1,284,Talmis (Kalabsha),Demotic
13004,53866,,AD 1 - 284,False,1,284,Talmis (Kalabsha),Demotic
13005,53867,,AD 47 Mar 21,False,47,,Koptos (Qift),Demotic / Hieroglyphic
13006,53868,,AD 1 - 284,False,1,284,Talmis (Kalabsha),Demotic
13007,53869,,AD 1 - 284,False,1,284,Talmis (Kalabsha),Demotic
13008,53870,,AD 49 Mar 27,False,49,,Koptos (Qift),Demotic / Hieroglyphic
13009,53871,,AD 1 - 284,False,1,284,Talmis (Kalabsha),Demotic
13010,53872,,AD 1 - 284,False,1,284,Talmis (Kalabsha),Demotic
13011,53873,year 9 of Claudius,AD 48 Aug 29 - 49 Aug 28,False,48,49,Koptos (Qift),Demotic / Hieroglyphic
13012,53875,,AD 40 Aug 29 - 54 Oct 13,False,40,54,Koptos (Qift),Demotic
13013,53876,,AD 1 - 284,False,1,284,Pselkis (El-Dakka),Demotic
13014,53877,,AD 63 Mar 6,False,63,,Koptos (Qift),Demotic / Hieroglyphic
13015,53878,,AD 1 - 284,False,1,284,Pselkis (El-Dakka),Demotic
13016,53879,,AD 1 - 284,False,1,284,Pselkis (El-Dakka),Demotic
13017,53880,,AD 1 - 284,False,1,284,Pselkis (El-Dakka),Demotic
13018,53881,,AD 1 - 284,False,1,284,Pselkis (El-Dakka),Demotic
13019,53882,,AD 66 Apr 18,False,66,,Koptos (Qift),Demotic
13020,53883,,AD 50 Aug 29 - 51 Aug 28,False,50,51,Egypt,Demotic
13021,53884,,AD 1 - 284,False,1,284,Pselkis (El-Dakka),Demotic
13022,53885,,AD 1 - 284,False,1,284,Pselkis (El-Dakka),Demotic
13023,53886,,AD 1 - 284,False,1,284,Pselkis (El-Dakka),Demotic
13024,53888,1st century AD,AD 1 - 99,False,1,99,Pselkis (El-Dakka),Demotic
13025,53889,,AD 98 Jun 2,False,98,,Tentyris (Dendera),Demotic / Greek
13026,53891,,AD 1 - 284,False,1,284,Pselkis (El-Dakka),Demotic
13027,53892,,AD 1 - 284,False,1,284,Pselkis (El-Dakka),Demotic
13028,53893,,AD 1 - 284,False,1,284,Pselkis (El-Dakka),Demotic
13029,53894,,AD 1 - 284,False,1,284,Pselkis (El-Dakka),Demotic
13030,53895,,AD 1 - 284,False,1,284,Pselkis (El-Dakka),Demotic
13031,53896,,AD 1 - 284,False,1,284,Pselkis (El-Dakka),Demotic
13032,53897,,AD 1 - 284,False,1,284,Pselkis (El-Dakka),Demotic
13033,53898,,AD 1 - 284,False,1,284,Pselkis (El-Dakka),Demotic
13034,53899,Ptolemaic period ?,BC 332 - 30?,True,-332,-30,Philai,Demotic
13035,539,Ptolemaic period,BC 332 - 30,False,-332,-30,Pathyris (Gebelein),Demotic
13036,53900,,AD 1 - 284,False,1,284,Pselkis (El-Dakka),Demotic
13037,53901,,AD 1 - 284,False,1,284,Pselkis (El-Dakka),Demotic
13038,53903,year 33 of Augustus,AD 3 Aug 30 - 4 Aug 28,False,3,4,Egypt,Demotic
13039,53905,,AD 1 - 284,False,1,284,Pselkis (El-Dakka),Demotic
13040,53906,,AD 1 - 284,False,1,284,Pselkis (El-Dakka),Demotic
13041,53907,Ptolemaic period,BC 332 - 30,False,-332,-30,Memphites,Demotic
13042,53908,,AD 1 - 284,False,1,284,Pselkis (El-Dakka),Demotic
13043,53909,first half 3rd century BC,BC 299 - 250,False,-299,-250,Pythagorio,Demotic / Greek
13044,53910,Ptolemaic period ?,BC 332 - 30?,True,-332,-30,Memphis,Demotic
13045,53911,Ptolemaic period ?,BC 332 - 30?,True,-332,-30,Touphion (Tod),Demotic / Hieroglyphic
13046,53912,Ptolemaic period ?,BC 332 - 30?,True,-332,-30,Abu Yassin,Demotic
13047,53913,Ptolemaic period,BC 332 - 30,False,-332,-30,Thebes,Demotic
13048,53914,,AD 1 - 284,False,1,284,Hiera Sykaminos (El-Maharraqa),Demotic
13049,53915,Ptolemaic period,BC 332 - 30,False,-332,-30,Leontopolis (Tell el-Moqdam),Demotic / Hieroglyphic
13050,53916,4th - 3rd century BC ?,BC 399 - 200?,True,-399,-200,Hermopolis (El-Ashmunein),Demotic
13051,53917,Roman period,BC 30 - AD 284,False,-30,284,Hiera Sykaminos (El-Maharraqa),Demotic
13052,53919,Ptolemaic period ?,BC 332 - 30?,True,-332,-30,Memphis,Demotic
13053,53920,Ptolemaic period - Roman period,BC 332 - AD 284,False,-332,284,Kerameia - Madou (Nag’ el-Madamud),Demotic
13054,53922,1st century BC - 1st century AD,BC 99 - AD 99,False,-99,99,Hermonthis (Armant),Demotic
13055,53923,1st century BC - 1st century AD,BC 99 - AD 99,False,-99,99,Egypt,Demotic
13056,53924,Ptolemaic period,BC 332 - 30,False,-332,-30,Egypt,Demotic / Hieroglyphic
13057,53925,7th century BC - mid 4th century AD,BC 699 - AD 350,False,-699,350,Dios Polis (Thebes east),Demotic
13058,53926,7th century BC - mid 4th century AD,BC 699 - AD 350,False,-699,350,Shablul,Demotic
13059,53928,7th century BC - mid 4th century AD,BC 699 - AD 350,False,-699,350,Tentyris (Dendera),Demotic
13060,53929,7th century BC - mid 4th century AD,BC 699 - AD 350,False,-699,350,Taua (Tanta),Demotic
13061,53930,7th century BC - mid 4th century AD,BC 699 - AD 350,False,-699,350,Egypt,Demotic
13062,53931,7th century BC - mid 4th century AD,BC 699 - AD 350,False,-699,350,Talmis (Kalabsha),Demotic
13063,53932,7th century BC - mid 4th century AD,BC 699 - AD 350,False,-699,350,Titalyah,Demotic
13064,53933,Ptolemaic period,BC 332 - 30,False,-332,-30,Memnoneia - Djeme (Thebes west),Demotic
13065,53935,Roman period,BC 30 - AD 284,False,-30,284,Latopolis (Esna),Demotic
13066,53936,,BC 332 - 200,False,-332,-200,Panopolis (Akhmim),Demotic
13067,53937,Ptolemaic period - Roman period,BC 332 - AD 284,False,-332,284,Egypt,Demotic
13068,53939,Roman period,BC 30 - AD 284,False,-30,284,Hermopolis (El-Ashmunein),Demotic
13069,53940,Ptolemaic period ?,BC 332 - 30?,True,-332,-30,Apollonopolis (Edfu),Demotic / Hieroglyphic
13070,53941,5th - 4th century BC ?,BC 499 - 300?,True,-499,-300,Egypt,Demotic
13071,53942,7th century BC - mid 4th century AD,BC 699 - AD 350,False,-699,350,Egypt,Demotic
13072,53943,7th century BC - mid 4th century AD,BC 699 - AD 350,False,-699,350,Memnoneia - Djeme (Thebes west),Demotic
13073,53945,7th century BC - mid 4th century AD,BC 699 - AD 350,False,-699,350,Egypt,Demotic
13074,53946,late 7th century BC - mid 4th century AD,BC 625 - AD 350,False,-625,350,Naukratis (Kom Gajef),Demotic / Hieroglyphic
13075,53947,7th century BC - mid 4th century AD,BC 699 - AD 350,False,-699,350,Naukratis (Kom Gajef),Demotic
13076,53948,Roman period ?,BC 30 - AD 284?,True,-30,284,Egypt,Demotic
13077,53949,Ptolemaic period ?,BC 332 - 30?,True,-332,-30,Egypt,Demotic
13078,53950,2nd century BC,BC 199 - 100,False,-199,-100,Apollonopolis (Edfu),Demotic / Greek
13079,53951,Roman period,BC 30 - AD 284,False,-30,284,Syene (Assuan),Demotic
13080,53952,,BC 162 Jul 24,False,-162,,Apollonopolis (Edfu),Demotic / Greek
13081,53953,Roman period,BC 30 - AD 284,False,-30,284,Syene (Assuan),Demotic
13082,53954,Ptolemaic period,BC 332 - 30,False,-332,-30,Apollonopolis (Edfu),Demotic / Greek
13083,53955,Roman period,BC 30 - AD 284,False,-30,284,Syene (Assuan),Demotic
13084,53956,year 22 of Augustus,BC 9 Aug 29 - 8 Aug 28,False,-9,-8,Apollonopolis (Edfu),Demotic / Greek
13085,53957,,BC 299 - 30?,True,-299,-30,Syene (Assuan),Demotic
13086,53958,,BC 30 - AD 99,False,-30,99,Syene (Assuan),Demotic
13087,53959,Roman period ?,BC 30 - AD 284?,True,-30,284,Syene (Assuan),Demotic
13088,53960,Roman period,BC 30 - AD 284,False,-30,284,Syene (Assuan),Demotic / Hieroglyphic
13089,53961,,AD 19 Jan 23,False,19,,Syene (Assuan),Demotic
13090,53962,,BC 199 - 30?,True,-199,-30,Syene (Assuan),Demotic
13091,53963,,AD 7 May 28,False,7,,Apollonopolis (Edfu),Demotic / Greek
13092,53964,Roman period,BC 30 - AD 284,False,-30,284,Syene (Assuan),Demotic
13093,53965,,AD 14 Nov 7,False,14,,Apollonopolis (Edfu),Demotic / Greek
13094,53966,Ptolemaic period,BC 332 - 30,False,-332,-30,Syene (Assuan),Demotic
13095,53967,Ptolemaic period,BC 332 - 30,False,-332,-30,Syene (Assuan),Demotic
13096,53968,Ptolemaic period,BC 332 - 30,False,-332,-30,Syene (Assuan),Demotic
13097,53969,Ptolemaic period,BC 332 - 30,False,-332,-30,Syene (Assuan),Demotic
13098,53970,,BC 143 Sep 23 - 27?,True,-143,-27,Syene (Assuan),Demotic
13099,53971,,BC 26 Jun 3,False,-26,,Syene (Assuan),Demotic
13100,53972,,BC 150 - 30?,True,-150,-30,Syene (Assuan),Demotic
13101,53973,,BC 90 - 30?,True,-90,-30,Syene (Assuan),Demotic
13102,53974,2nd century AD ?,AD 100 - 199?,True,100,199,Syene (Assuan),Demotic
13103,53975,,AD 79 Jul 15,False,79,,Syene (Assuan),Demotic
13104,53976,,BC 15 Nov 27 - Dec 26?,True,-15,,Syene (Assuan),Demotic
13105,53977,,BC 30 - AD 99,False,-30,99,Syene (Assuan),Demotic
13106,53978,Roman period,BC 30 - AD 284,False,-30,284,Syene (Assuan),Demotic
